featureimportance,featurename
0.003323944998869042,Pbr042506.1
0.0029435765417843564,Pbr016137.1
0.0022871484886105324,Pbr022822.1
0.002971072089050731,Pbr023248.1
0.002517371841983652,Pbr013848.1
0.002483780081402595,Pbr022238.1
0.0031266917194049935,Pbr041114.1
0.0028631638388797566,Pbr013913.1
0.002704626218396103,Pbr005758.2
0.0036247213995272767,Pbr032130.1
0.0030724674612371628,Pbr009578.1
0.003755373114787654,Pbr012599.1
0.0024383599790209092,Pbr038992.1
0.003158054998454175,Pbr000122.1
0.0018395099473619363,Pbr003862.1
0.0020159105596845193,Pbr004949.1
0.0025898132731539724,Pbr030647.2
0.0027685132992323574,Pbr027964.1
0.003062434435666108,Pbr038548.1
0.003464933248399045,Pbr040466.1
0.002196656010417474,Pbr042755.1
0.0021864399485609846,Pbr016552.1
0.002720473043432438,Pbr016129.1
0.00240671651297369,Pbr029306.1
0.0015992857201850546,Pbr019141.1
0.0024696311953215674,Pbr016048.1
0.003392489284577041,Pbr013912.1
0.0020092230939961343,Pbr041367.1
0.0030929163267059126,Pbr018463.1
0.0034385590553510552,Pbr042345.1
0.002920616457657829,Pbr002193.1
0.002800393454958913,Pbr015533.1
0.0027273516692598353,Pbr000214.1
0.002734480414081623,Pbr031946.1
0.003315613385055554,Pbr035996.1
0.0025104751925230204,Pbr005387.1
0.002580205141962118,Pbr035075.1
0.002978318726817345,Pbr039217.1
0.0020794089713759164,Pbr028511.1
0.003814225368942245,Pbr037514.1
0.002846286245720263,Pbr038549.1
0.002754727922002478,Pbr042309.1
0.0027600544455056567,Pbr015008.1
0.003936825780010335,Pbr032775.1
0.0029154598030903334,Pbr042781.1
0.002709288634285142,Pbr019852.2
0.0025981020708146217,Pbr015752.1
0.0025519703281719095,Pbr007727.1
0.0033640071333815086,Pbr037511.1
0.00279514487856027,Pbr016221.1
0.0025536472345797016,Pbr038418.1
0.0027091177448142173,Pbr018930.1
0.0033094730068066293,Pbr032771.1
0.0022067582901959437,Pbr019270.1
0.004165501507930217,Pbr006178.1
0.003295909492153099,Pbr032770.1
0.002550839621870258,Pbr031750.1
0.002722739698885273,Pbr018465.1
0.002951594256818635,Pbr034839.1
0.0032261712566194864,Pbr003394.1
0.0065251337661847075,eccentricity
0.0005499156134284124,closeness
0.007575609056346192,degree
3.748230848670245e-05,eigen_centrality
0.0019085994587039305,b-114
0.00021070825685914841,b-15
0.0032445710549934,b-45
0.002344753860626617,b-75
0.017601171616147694,b-90
0.0031296225907115767,c-101
3.8819697245189837e-05,c-120
0.001297494682950459,c-15
0.010781207440483524,c-45
0.002861298882161578,c-75
0.010383258940592329,c-90
0.0020666617072082065,d-110
0.006565068494582665,d-120
0.00658959419792649,d-145
0.008223223768437083,d-15
0.00598783329119363,d-45
0.0036396495346938274,d-75
0.009024795215109146,d-90
0.001140989232199487,f-101
0.002108692170221819,f-117
0.008181035250474167,f-130
0.007557245354016516,f-15
0.011609197487891763,f-45
0.004841586252863869,f-75
0.006857938139670839,k-120
0.01856901518013259,k-135
0.012511157611597429,k-15
0.0052918728222691456,k-45
6.52245663734189e-05,k-75
0.0013122310870115161,k-92
0.0048993502578630515,n-125
0.004469187408092363,n-15
0.005777461121770712,n-45
0.00195767691779533,n-75
0.013820128537112933,n-90
0.004364401131143914,z-101
0.006024939599763841,z-120
0.00530577754516348,z-15
0.0005944640159185584,z-45
0.00031215056849782013,z-75
0.003907383220810876,z-90
0.010095776065383078,Y-P1
0.0058633924069142,YRT-P3
0.009796853162831612,YRT-P4
0.0017642789545329971,YRT-P5
0.0007756696960786069,YRT-P6
0.0033477035462313527,YRB-P3
0.0031396916456938708,YRB-P4
0.002040337704635843,YRB-P5
0.0033306748745462003,YRB-P6
0.0032934301213728184,YR-P2
0.008511524254603019,CSL15
0.011515906026730626,CSL35
0.003934344139517225,CSL55
0.0010552129753995743,CSR15
0.011252800235551494,CSR35
0.006842268027721867,CSR55
0.0028710527581086607,DSL15
0.028561324475934544,DSL35
0.005411213185551877,DSL55
0.0009152461997299038,DSR15
0.016943289711219514,DSR35
0.003268374725506416,DSR55
0.009813286956452498,SNS25
0.006629396813474412,SNS35
0.008187964812776805,SNS45
0.00932230218629022,SNS65
0.007319721519848491,SNS95
0.003044755596316736,103DAB_Qiushui
0.006996346880305102,103DAB_Zaoshengxinshui
0.005697426617861579,103DAB_ZQ65
0.006554729657449916,103DAB_ZQ82
0.005222917531246941,110DAB_Qiushui
0.003362682490278553,110DAB_Zaoshengxinshui
0.007111930455195945,110DAB_ZQ65
0.003891156369567043,110DAB_ZQ82
0.0039041813206109766,75DAB_Qiushui
0.005332743543922848,75DAB_Zaoshengxinshui
0.00019690185131133602,75DAB_ZQ65
0.0003875706819362964,75DAB_ZQ82
0.0012524847573614458,82DAB_Qiushui
0.0032566571366778874,82DAB_Zaoshengxinshui
0.0027308787090726157,82DAB_ZQ65
0.012660032371310467,82DAB_ZQ82
0.003200798258166407,89DAB_Qiushui
0.0046314549808639215,89DAB_Zaoshengxinshui
0.0007391772167329139,89DAB_ZQ65
0.0072933097530710105,89DAB_ZQ82
0.0021376898957098478,96DAB_Qiushui
0.006987104684683163,96DAB_Zaoshengxinshui
0.001386411457875182,96DAB_ZQ65
0.007627645831221634,96DAB_ZQ82
0.007226957089515295,CK1
0.00034007652228997947,CK14
0.01859549932546067,CK3
0.008853559484761032,CK5
0.005983020005900687,CK7
0.010043984134854874,GA1
0.006949131692146683,GA14
0.013562645972485974,GA3
0.014553660771165159,GA5
0.006408898062297665,GA7
0.01087723439170847,P0
0.0017766368365052451,DS4W
1.8022567880023148e-05,DS6W
0.008296750378555737,DS8W
0.004639355563925561,DS10W
0.005890733185361192,DS12W
0.0019062281801263386,DS14W
0.0002848450128117983,DS16W
0.0038009964432071607,DS18W
0.0022091111235992443,DS20W
0.0021155643562851757,DS22W
0.0003903735975126982,DS24W
0.00932636105101008,DAF15-1
0.008935277741471898,DAF15-2
0.011218845121618746,DAF25-1
0.011234442825182848,DAF25-2
0.007692833426784889,DAF55-1
0.009832214720187872,DAF55-2
0.002873909527039571,DAF85-1
0.0018728821714487191,DAF85-2
0.008691875329355437,DAF115-1
0.006548557386521341,DAF115-2
0.007484273912337751,DAF145-1
0.008572417111396674,DAF145-2
0.010214678019894367,FT 15d
0.011376905912496271,FT 25d
0.0120264705286786,FT 55d
0.013740249056238529,FT 85d
0.010702876205763068,FT 115d
0.009547475247823255,FS 145d
